,
Year,England and Wales 16-59 Population
1996,30147400
1997,30260100
1998,30360100
1999,30520900
2000,30616900
2001,30974100
2002,31208100
2003,31390000
2004,31589500
2005,31890300
2006,32125900
2007,32242600
2008,32389000
2009,32513100
2010,32701100
2011,32896600
2012,33030278
2013,33148175
2014,33296338
2015,33499022
